val,type,col1
747386: Semtín,KU,Semtín [Pardubice] (kód kú: 747386)
659100: Sendraž,KU,Sendraž [Náchod] (kód kú: 659100)
747394: Sendražice u Kolína,KU,Sendražice u Kolína [Kolín] (kód kú: 747394)
747408: Sendražice u Smiřic,KU,Sendražice u Smiřic [Hradec Králové] (kód kú: 747408)
793612: Senec u Plzně,KU,Senec u Plzně [Plzeň-sever] (kód kú: 793612)
747416: Senec u Rakovníka,KU,Senec u Rakovníka [Rakovník] (kód kú: 747416)
747424: Senešnice,KU,Senešnice [Praha-západ] (kód kú: 747424)
747432: Senetářov,KU,Senetářov [Blansko] (kód kú: 747432)
720232: Senetín,KU,Senetín [Kutná Hora] (kód kú: 720232)
747459: Senice na Hané,KU,Senice na Hané [Olomouc] (kód kú: 747459)
747441: Senice,KU,Senice [Nymburk] (kód kú: 747441)
747475: Senička,KU,Senička [Olomouc] (kód kú: 747475)
656828: Seník,KU,Seník [Pardubice] (kód kú: 656828)
747483: Seninka,KU,Seninka [Vsetín] (kód kú: 747483)
791911: Senkov,KU,Senkov [Louny] (kód kú: 791911)
747505: Senohraby,KU,Senohraby [Praha-východ] (kód kú: 747505)
747521: Senomaty,KU,Senomaty [Rakovník] (kód kú: 747521)
747530: Senorady,KU,Senorady [Brno-venkov] (kód kú: 747530)
649635: Senotín,KU,Senotín [Jindřichův Hradec] (kód kú: 649635)
747564: Senožaty,KU,Senožaty [Pelhřimov] (kód kú: 747564)
601560: Senožaty u Bechyně,KU,Senožaty u Bechyně [Tábor] (kód kú: 601560)
747581: Sentice,KU,Sentice [Brno-venkov] (kód kú: 747581)
747602: Sepekov,KU,Sepekov [Písek] (kód kú: 747602)
746568: Sestrouň,KU,Sestrouň [Příbram] (kód kú: 746568)
747637: Setěchovice,KU,Setěchovice [Prachatice] (kód kú: 747637)
686280: Severní,KU,Severní [Děčín] (kód kú: 686280)
747645: Sezemice,KU,Sezemice [Mladá Boleslav] (kód kú: 747645)
747670: Sezemice nad Loučnou,KU,Sezemice nad Loučnou [Pardubice] (kód kú: 747670)
631914: Sezemín,KU,Sezemín [Domažlice] (kód kú: 631914)
747688: Sezimovo Ústí,KU,Sezimovo Ústí [Tábor] (kód kú: 747688)
1511: PP Sfinga,MZCHU,Sfinga [PP] (kód ÚSOP: 1511)
825: PP Sfingy,MZCHU,Sfingy [PP] (kód ÚSOP: 825)
747769: Sibřina,KU,Sibřina [Praha-východ] (kód kú: 747769)
912: PR Sidonie,MZCHU,Sidonie [PR] (kód ÚSOP: 912)
747793: Sidonie,KU,Sidonie [Zlín] (kód kú: 747793)
756717: Silnice,KU,Silnice [Prachatice] (kód kú: 756717)
747815: Silůvky,KU,Silůvky [Brno-venkov] (kód kú: 747815)
724653: Simtany,KU,Simtany [Havlíčkův Brod] (kód kú: 724653)
CZ0423227: Sinutec - Dlouhý kopec,EVL,Sinutec - Dlouhý kopec (sitecode: CZ0423227)
671835: Sinutec,KU,Sinutec [Louny] (kód kú: 671835)
617458: Sirá,KU,Sirá [Rokycany] (kód kú: 617458)
747823: Sirákov,KU,Sirákov [Žďár nad Sázavou] (kód kú: 747823)
748811: Sirákovice,KU,Sirákovice [Havlíčkův Brod] (kód kú: 748811)
952: PP Sirňák,MZCHU,Sirňák [PP] (kód ÚSOP: 952)
5634: PP Sirnaté lázně,MZCHU,Sirnaté lázně [PP] (kód ÚSOP: 5634)
747831: Siřejovice,KU,Siřejovice [Litoměřice] (kód kú: 747831)
682659: Siřem,KU,Siřem [Louny] (kód kú: 682659)
697516: Sítiny,KU,Sítiny [Cheb] (kód kú: 697516)
796328: Sitné,KU,Sitné [Mělník] (kód kú: 796328)
386: PP Sítovka,MZCHU,Sítovka [PP] (kód ÚSOP: 386)
747840: Sivice,KU,Sivice [Brno-venkov] (kód kú: 747840)
CZ0620037: Sivický les,EVL,Sivický les (sitecode: CZ0620037)
747866: Skála u Chrasti,KU,Skála u Chrasti [Chrudim] (kód kú: 747866)
747858: Skála u Havlíčkova Brodu,KU,Skála u Havlíčkova Brodu [Havlíčkův Brod] (kód kú: 747858)
2218: PR Skalák u Senotína,MZCHU,Skalák u Senotína [PR] (kód ÚSOP: 2218)
866: PR Skalecký háj,MZCHU,Skalecký háj [PR] (kód ÚSOP: 866)
2073: PP Skálí,MZCHU,Skálí [PP] (kód ÚSOP: 2073)
747891: Skalice nad Lužnicí,KU,Skalice nad Lužnicí [Tábor] (kód kú: 747891)
747998: Skalice nad Svitavou,KU,Skalice nad Svitavou [Blansko] (kód kú: 747998)
757063: Skalice u Benešova,KU,Skalice u Benešova [Benešov] (kód kú: 757063)
747904: Skalice u České Lípy,KU,Skalice u České Lípy [Česká Lípa] (kód kú: 747904)
5737: PP Skalice u České Lípy,MZCHU,Skalice u České Lípy [PP] (kód ÚSOP: 5737)
CZ0513665: Skalice u České Lípy,EVL,Skalice u České Lípy (sitecode: CZ0513665)
747874: Skalice u Dobříše,KU,Skalice u Dobříše [Příbram] (kód kú: 747874)
747971: Skalice u Frýdku-Místku,KU,Skalice u Frýdku-Místku [Frýdek-Místek] (kód kú: 747971)
754099: Skalice u Lovosic,KU,Skalice u Lovosic [Litoměřice] (kód kú: 754099)
747939: Skalice u Smiřic,KU,Skalice u Smiřic [Hradec Králové] (kód kú: 747939)
747947: Skalice u Znojma,KU,Skalice u Znojma [Znojmo] (kód kú: 747947)
797189: Skalice u Žitenic,KU,Skalice u Žitenic [Litoměřice] (kód kú: 797189)
3375: NPP Skalická Morávka,MZCHU,Skalická Morávka [NPP] (kód ÚSOP: 3375)
748005: Skaličany,KU,Skaličany [Strakonice] (kód kú: 748005)
748013: Skalička nad Labem,KU,Skalička nad Labem [Hradec Králové] (kód kú: 748013)
748021: Skalička u Hranic,KU,Skalička u Hranic [Přerov] (kód kú: 748021)
787060: Skalička u Tišnova,KU,Skalička u Tišnova [Brno-venkov] (kód kú: 787060)
1089: PP Skalka pod Kaní horou,MZCHU,Skalka pod Kaní horou [PP] (kód ÚSOP: 1089)
CZ0412071: Skalka pod Tisovým vrchem,EVL,Skalka pod Tisovým vrchem (sitecode: CZ0412071)
1608: PP Skalka,MZCHU,Skalka [PP] (kód ÚSOP: 1608)
387: PP Skalka,MZCHU,Skalka [PP] (kód ÚSOP: 387)
388: PR Skalka,MZCHU,Skalka [PR] (kód ÚSOP: 388)
748030: Skalka u Blíževedel,KU,Skalka u Blíževedel [Česká Lípa] (kód kú: 748030)
650862: Skalka u Chebu,KU,Skalka u Chebu [Cheb] (kód kú: 650862)
621633: Skalka u České Metuje,KU,Skalka u České Metuje [Náchod] (kód kú: 621633)
748072: Skalka u Doks,KU,Skalka u Doks [Česká Lípa] (kód kú: 748072)
638129: Skalka u Hazlova,KU,Skalka u Hazlova [Cheb] (kód kú: 638129)
748048: Skalka u Kyjova,KU,Skalka u Kyjova [Hodonín] (kód kú: 748048)
754587: Skalka u Nové Bystřice,KU,Skalka u Nové Bystřice [Jindřichův Hradec] (kód kú: 754587)
748056: Skalka u Prostějova,KU,Skalka u Prostějova [Prostějov] (kód kú: 748056)
662: PP Skalka u Sovolusk,MZCHU,Skalka u Sovolusk [PP] (kód ÚSOP: 662)
1017: PP Skalka u Velimi,MZCHU,Skalka u Velimi [PP] (kód ÚSOP: 1017)
391: PP Skalka u Žehušic,MZCHU,Skalka u Žehušic [PP] (kód ÚSOP: 391)
389: PP Skalka-Polomsko,MZCHU,Skalka-Polomsko [PP] (kód ÚSOP: 389)
392: PP Skalky na Sádku,MZCHU,Skalky na Sádku [PP] (kód ÚSOP: 392)
1249: PP Skalky,MZCHU,Skalky [PP] (kód ÚSOP: 1249)
2186: PP Skalky,MZCHU,Skalky [PP] (kód ÚSOP: 2186)
CZ0723423: Skalky,EVL,Skalky (sitecode: CZ0723423)
676: NPP Skalky skřítků,MZCHU,Skalky skřítků [NPP] (kód ÚSOP: 676)
1310: PP Skalky u Havraníků,MZCHU,Skalky u Havraníků [PP] (kód ÚSOP: 1310)
CZ0624118: Skalky u Havraníků,EVL,Skalky u Havraníků (sitecode: CZ0624118)
5996: PP Skalky u Hulína,MZCHU,Skalky u Hulína [PP] (kód ÚSOP: 5996)
1457: PP Skalky u Přehrady,MZCHU,Skalky u Přehrady [PP] (kód ÚSOP: 1457)
5905: PP Skalky u Sedlece,MZCHU,Skalky u Sedlece [PP] (kód ÚSOP: 5905)
CZ0620048: Skalky u Sedlece,EVL,Skalky u Sedlece (sitecode: CZ0620048)
5913: PP Skalky u Třebutiček,MZCHU,Skalky u Třebutiček [PP] (kód ÚSOP: 5913)
CZ0420041: Skalky u Třebutiček,EVL,Skalky u Třebutiček (sitecode: CZ0420041)
748102: Skalná,KU,Skalná [Cheb] (kód kú: 748102)
2136: PR Skalní potok,MZCHU,Skalní potok [PR] (kód ÚSOP: 2136)
665: PP Skalní sruby Jizery,MZCHU,Skalní sruby Jizery [PP] (kód ÚSOP: 665)
393: PR Skalské rašeliniště,MZCHU,Skalské rašeliniště [PR] (kód ÚSOP: 393)
CZ0815031: Skalské rašeliniště,EVL,Skalské rašeliniště (sitecode: CZ0815031)
748153: Skalsko,KU,Skalsko [Mladá Boleslav] (kód kú: 748153)
3407: PP Skalsko,MZCHU,Skalsko [PP] (kód ÚSOP: 3407)
992: PP Skalský,MZCHU,Skalský [PP] (kód ÚSOP: 992)
1430: PP Skály,MZCHU,Skály [PP] (kód ÚSOP: 1430)
1200: PR Skály,MZCHU,Skály [PR] (kód ÚSOP: 1200)
678210: Skály u Kváskovic,KU,Skály u Kváskovic [Strakonice] (kód kú: 678210)
748161: Skály u Protivína,KU,Skály u Protivína [Písek] (kód kú: 748161)
748170: Skály u Rýmařova,KU,Skály u Rýmařova [Bruntál] (kód kú: 748170)
766372: Skály u Teplic nad Metují,KU,Skály u Teplic nad Metují [Náchod] (kód kú: 766372)
5975: PP Skály v zoologické zahradě,MZCHU,Skály v zoologické zahradě [PP] (kód ÚSOP: 5975)
748196: Skapce,KU,Skapce [Tachov] (kód kú: 748196)
641413: Skařez,KU,Skařez [Domažlice] (kód kú: 641413)
394: PR Skařiny,MZCHU,Skařiny [PR] (kód ÚSOP: 394)
748218: Skašov,KU,Skašov [Plzeň-jih] (kód kú: 748218)
748226: Skaštice,KU,Skaštice [Kroměříž] (kód kú: 748226)
654680: Skelná Huť,KU,Skelná Huť [Klatovy] (kód kú: 654680)
1079: PP Skelná huť,MZCHU,Skelná huť [PP] (kód ÚSOP: 1079)
768847: Skelné Hutě,KU,Skelné Hutě [Cheb] (kód kú: 768847)
645257: Skláře na Šumavě,KU,Skláře na Šumavě [Český Krumlov] (kód kú: 645257)
697494: Skláře u Mnichova,KU,Skláře u Mnichova [Domažlice] (kód kú: 697494)
665576: Skláře u Vimperka,KU,Skláře u Vimperka [Prachatice] (kód kú: 665576)
736368: Sklená Huť,KU,Sklená Huť [Rokycany] (kód kú: 736368)
798355: Sklená,KU,Sklená [Šumperk] (kód kú: 798355)
748234: Sklenařice,KU,Sklenařice [Semily] (kód kú: 748234)
696811: Sklenářovice,KU,Sklenářovice [Trutnov] (kód kú: 696811)
5314: PP Sklenářovické údolí,MZCHU,Sklenářovické údolí [PP] (kód ÚSOP: 5314)
748269: Sklené nad Oslavou,KU,Sklené nad Oslavou [Žďár nad Sázavou] (kód kú: 748269)
690163: Sklené u Malé Moravy,KU,Sklené u Malé Moravy [Šumperk] (kód kú: 690163)
748242: Sklené u Svitav,KU,Sklené u Svitav [Svitavy] (kód kú: 748242)
748251: Sklené u Žďáru nad Sázavou,KU,Sklené u Žďáru nad Sázavou [Žďár nad Sázavou] (kód kú: 748251)
748293: Sklenov,KU,Sklenov [Frýdek-Místek] (kód kú: 748293)
939: PP Sklenské louky,MZCHU,Sklenské louky [PP] (kód ÚSOP: 939)
748331: Skochovice,KU,Skochovice [Hradec Králové] (kód kú: 748331)
748315: Skočice,KU,Skočice [Strakonice] (kód kú: 748315)
748323: Skočice u Přeštic,KU,Skočice u Přeštic [Plzeň-jih] (kód kú: 748323)
975: PR Skočický Hrad,MZCHU,Skočický Hrad [PR] (kód ÚSOP: 975)
CZ0213512: Skočová - pískovna,EVL,Skočová - pískovna (sitecode: CZ0213512)
690252: Skočova Lhota,KU,Skočova Lhota [Blansko] (kód kú: 690252)
753483: Skoky u Staměřic,KU,Skoky u Staměřic [Přerov] (kód kú: 753483)
797740: Skoky u Žlutic,KU,Skoky u Žlutic [Karlovy Vary] (kód kú: 797740)
738115: Skomelno,KU,Skomelno [Rokycany] (kód kú: 738115)
748358: Skopytce,KU,Skopytce [Tábor] (kód kú: 748358)
754960: Skoranov,KU,Skoranov [Chrudim] (kód kú: 754960)
692158: Skoranovice,KU,Skoranovice [Pelhřimov] (kód kú: 692158)
748382: Skorkov,KU,Skorkov [Mladá Boleslav] (kód kú: 748382)
748391: Skorkov u Herálce,KU,Skorkov u Herálce [Havlíčkův Brod] (kód kú: 748391)
748404: Skoronice,KU,Skoronice [Hodonín] (kód kú: 748404)
748480: Skorotice u Ústí nad Labem,KU,Skorotice u Ústí nad Labem [Ústí nad Labem] (kód kú: 748480)
748501: Skorotice,KU,Skorotice [Žďár nad Sázavou] (kód kú: 748501)
748528: Skořenice,KU,Skořenice [Ústí nad Orlicí] (kód kú: 748528)
748544: Skořice,KU,Skořice [Rokycany] (kód kú: 748544)
930148: Skořice v Brdech,KU,Skořice v Brdech [Rokycany] (kód kú: 930148)
748561: Skotnice,KU,Skotnice [Nový Jičín] (kód kú: 748561)
772241: Skoupý,KU,Skoupý [Příbram] (kód kú: 772241)
748587: Skramníky,KU,Skramníky [Kolín] (kód kú: 748587)
748609: Skramouš,KU,Skramouš [Mělník] (kód kú: 748609)
791318: Skránčice,KU,Skránčice [Klatovy] (kód kú: 791318)
748617: Skrbeň,KU,Skrbeň [Olomouc] (kód kú: 748617)
762636: Skrbovice,KU,Skrbovice [Bruntál] (kód kú: 762636)
748650: Skrchov,KU,Skrchov [Blansko] (kód kú: 748650)
613142: Skrochovice,KU,Skrochovice [Opava] (kód kú: 613142)
748668: Skršice,KU,Skršice [Rychnov nad Kněžnou] (kód kú: 748668)
748706: Skršín,KU,Skršín [Most] (kód kú: 748706)
748714: Skrýchov,KU,Skrýchov [Jindřichův Hradec] (kód kú: 748714)
748731: Skrýchov u Malšic,KU,Skrýchov u Malšic [Tábor] (kód kú: 748731)
748773: Skrýchov u Opařan,KU,Skrýchov u Opařan [Tábor] (kód kú: 748773)
643424: Skryje,KU,Skryje [Brno-venkov] (kód kú: 643424)
748790: Skryje nad Berounkou,KU,Skryje nad Berounkou [Rakovník] (kód kú: 748790)
748854: Skryje nad Jihlavou,KU,Skryje nad Jihlavou [Třebíč] (kód kú: 748854)
748820: Skryje u Golčova Jeníkova,KU,Skryje u Golčova Jeníkova [Havlíčkův Brod] (kód kú: 748820)
5675: PP Skryjsko-týřovické kambrium,MZCHU,Skryjsko-týřovické kambrium [PP] (kód ÚSOP: 5675)
748862: Skrýšov u Pelhřimova,KU,Skrýšov u Pelhřimova [Pelhřimov] (kód kú: 748862)
657077: Skrýšov u Polné,KU,Skrýšov u Polné [Jihlava] (kód kú: 657077)
760188: Skrýšov u Svatého Jana,KU,Skrýšov u Svatého Jana [Příbram] (kód kú: 760188)
751871: Skržice,KU,Skržice [Kroměříž] (kód kú: 751871)
748871: Skřečoň,KU,Skřečoň [Karviná] (kód kú: 748871)
754927: Skřeněř,KU,Skřeněř [Hradec Králové] (kód kú: 754927)
758698: Skřib,KU,Skřib [Blansko] (kód kú: 758698)
748901: Skřinářov,KU,Skřinářov [Žďár nad Sázavou] (kód kú: 748901)
792152: Skříněřov,KU,Skříněřov [Prachatice] (kód kú: 792152)
748919: Skřipel,KU,Skřipel [Beroun] (kód kú: 748919)
748943: Skřipov,KU,Skřipov [Opava] (kód kú: 748943)
748927: Skřípov,KU,Skřípov [Prostějov] (kód kú: 748927)
785903: Skřipová,KU,Skřipová [Karlovy Vary] (kód kú: 785903)
1455: PP Skřípovský mokřad,MZCHU,Skřípovský mokřad [PP] (kód ÚSOP: 1455)
748951: Skřivaň,KU,Skřivaň [Rakovník] (kód kú: 748951)
748960: Skřivany,KU,Skřivany [Hradec Králové] (kód kú: 748960)
760609: Skubice,KU,Skubice [Český Krumlov] (kód kú: 760609)
395: PR Skučák,MZCHU,Skučák [PR] (kód ÚSOP: 395)
CZ0810424: Skučák,EVL,Skučák (sitecode: CZ0810424)
749109: Skuhrov nad Bělou,KU,Skuhrov nad Bělou [Rychnov nad Kněžnou] (kód kú: 749109)
749010: Skuhrov pod Brdy,KU,Skuhrov pod Brdy [Beroun] (kód kú: 749010)
722847: Skuhrov pod Třemšínem,KU,Skuhrov pod Třemšínem [Příbram] (kód kú: 722847)
749044: Skuhrov u České Třebové,KU,Skuhrov u České Třebové [Ústí nad Orlicí] (kód kú: 749044)
749036: Skuhrov u Havlíčkova Brodu,KU,Skuhrov u Havlíčkova Brodu [Havlíčkův Brod] (kód kú: 749036)
779555: Skuhrov u Mělníka,KU,Skuhrov u Mělníka [Mělník] (kód kú: 779555)
723169: Skuhrov u Počepic,KU,Skuhrov u Počepic [Příbram] (kód kú: 723169)
749028: Skuhrov u Železného Brodu,KU,Skuhrov u Železného Brodu [Jablonec nad Nisou] (kód kú: 749028)
749117: Skupá,KU,Skupá [Rakovník] (kód kú: 749117)
675717: Skupeč,KU,Skupeč [Plzeň-sever] (kód kú: 675717)
698377: Skupice u Chrudimi,KU,Skupice u Chrudimi [Chrudim] (kód kú: 698377)
749133: Skupice u Postoloprt,KU,Skupice u Postoloprt [Louny] (kód kú: 749133)
640221: Skůry,KU,Skůry [Kladno] (kód kú: 640221)
691852: Skuřina,KU,Skuřina [Jičín] (kód kú: 691852)
749168: Skuteč,KU,Skuteč [Chrudim] (kód kú: 749168)
749176: Skutíčko,KU,Skutíčko [Chrudim] (kód kú: 749176)
607380: Skviřín,KU,Skviřín [Tachov] (kód kú: 607380)
722596: Skvrňany,KU,Skvrňany [Plzeň-město] (kód kú: 722596)
749192: Skvrňov,KU,Skvrňov [Kolín] (kód kú: 749192)
749206: Skyřice,KU,Skyřice [Most] (kód kú: 749206)
745821: Skyšice,KU,Skyšice [Mladá Boleslav] (kód kú: 745821)
749222: Skytaly,KU,Skytaly [Louny] (kód kú: 749222)
749257: Slabce,KU,Slabce [Rakovník] (kód kú: 749257)
749281: Slabčice,KU,Slabčice [Písek] (kód kú: 749281)
1055: PP Sládkova stráň,MZCHU,Sládkova stráň [PP] (kód ÚSOP: 1055)
5780: PP Slaná louka u Újezdce,MZCHU,Slaná louka u Újezdce [PP] (kód ÚSOP: 5780)
CZ0210173: Slaná louka u Újezdce,EVL,Slaná louka u Újezdce (sitecode: CZ0210173)
749354: Slaná,KU,Slaná [Semily] (kód kú: 749354)
5627: PP Slanice pramen,MZCHU,Slanice pramen [PP] (kód ÚSOP: 5627)
5632: PP Slanice studna,MZCHU,Slanice studna [PP] (kód ÚSOP: 5632)
735272: Slaník,KU,Slaník [Strakonice] (kód kú: 735272)
1763: PR Slanisko Dobré Pole,MZCHU,Slanisko Dobré Pole [PR] (kód ÚSOP: 1763)
CZ0620031: Slanisko Dobré Pole,EVL,Slanisko Dobré Pole (sitecode: CZ0620031)
1762: PR Slanisko Novosedly,MZCHU,Slanisko Novosedly [PR] (kód ÚSOP: 1762)
CZ0620187: Slanisko Novosedly,EVL,Slanisko Novosedly (sitecode: CZ0620187)
298: NPR Slanisko u Nesytu,MZCHU,Slanisko u Nesytu [NPR] (kód ÚSOP: 298)
CZ0624102: Slanisko u Nesytu,EVL,Slanisko u Nesytu (sitecode: CZ0624102)
2173: PP Slanisko u Škrle,MZCHU,Slanisko u Škrle [PP] (kód ÚSOP: 2173)
CZ0420525: Slanisko u Škrle,EVL,Slanisko u Škrle (sitecode: CZ0420525)
1911: PP Slánská hora,MZCHU,Slánská hora [PP] (kód ÚSOP: 1911)
CZ0213070: Slánsko - Byseňský potok,EVL,Slánsko - Byseňský potok (sitecode: CZ0213070)
749362: Slaný,KU,Slaný [Kladno] (kód kú: 749362)
749575: Slapsko,KU,Slapsko [Tábor] (kód kú: 749575)
749613: Slapy nad Vltavou,KU,Slapy nad Vltavou [Praha-západ] (kód kú: 749613)
737917: Slapy u Tábora,KU,Slapy u Tábora [Tábor] (kód kú: 737917)
612286: Slatina,KU,Slatina [Brno-město] (kód kú: 612286)
749761: Slatina nad Úpou,KU,Slatina nad Úpou [Náchod] (kód kú: 749761)
749770: Slatina nad Zdobnicí,KU,Slatina nad Zdobnicí [Rychnov nad Kněžnou] (kód kú: 749770)
749648: Slatina pod Hazmburkem,KU,Slatina pod Hazmburkem [Litoměřice] (kód kú: 749648)
749729: Slatina u Bílovce,KU,Slatina u Bílovce [Nový Jičín] (kód kú: 749729)
654574: Slatina u Chříče,KU,Slatina u Chříče [Plzeň-sever] (kód kú: 654574)
654639: Slatina u Chudenic,KU,Slatina u Chudenic [Klatovy] (kód kú: 654639)
634689: Slatina u Františkových Lázní,KU,Slatina u Františkových Lázní [Cheb] (kód kú: 634689)
749630: Slatina u Horažďovic,KU,Slatina u Horažďovic [Klatovy] (kód kú: 749630)
644650: Slatina u Horní Vltavice,KU,Slatina u Horní Vltavice [Prachatice] (kód kú: 644650)
645966: Slatina u Hostouně,KU,Slatina u Hostouně [Domažlice] (kód kú: 645966)
749656: Slatina u Hradce Králové,KU,Slatina u Hradce Králové [Hradec Králové] (kód kú: 749656)
749672: Slatina u Jevíčka,KU,Slatina u Jevíčka [Svitavy] (kód kú: 749672)
749699: Slatina u Jevišovic,KU,Slatina u Jevišovic [Znojmo] (kód kú: 749699)
754048: Slatina u Staré Vody,KU,Slatina u Staré Vody [Cheb] (kód kú: 754048)
749621: Slatina u Velvar,KU,Slatina u Velvar [Kladno] (kód kú: 749621)
749681: Slatina u Vysokého Mýta,KU,Slatina u Vysokého Mýta [Ústí nad Orlicí] (kód kú: 749681)
749796: Slatiňany,KU,Slatiňany [Chrudim] (kód kú: 749796)
749818: Slatinice na Hané,KU,Slatinice na Hané [Olomouc] (kód kú: 749818)
616559: Slatinice u Mostu,KU,Slatinice u Mostu [Most] (kód kú: 616559)
3372: PP Slatiniště u Vrbky,MZCHU,Slatiniště u Vrbky [PP] (kód ÚSOP: 3372)
680737: Slatinka,KU,Slatinka [Blansko] (kód kú: 680737)
749826: Slatinky,KU,Slatinky [Prostějov] (kód kú: 749826)
1027: PR Slatinná louka u Liblic,MZCHU,Slatinná louka u Liblic [PR] (kód ÚSOP: 1027)
CZ0523266: Slatinná louka u Roudničky,EVL,Slatinná louka u Roudničky (sitecode: CZ0523266)
567: NPP Slatinná louka u Velenky,MZCHU,Slatinná louka u Velenky [NPP] (kód ÚSOP: 567)
6003: PP Slatinná louka u Velenky,MZCHU,Slatinná louka u Velenky [PP] (kód ÚSOP: 6003)
CZ0212021: Slatinná louka u Velenky,EVL,Slatinná louka u Velenky (sitecode: CZ0212021)
CZ0513255: Slatinné vrchy,EVL,Slatinné vrchy (sitecode: CZ0513255)
749851: Slatiny,KU,Slatiny [Jičín] (kód kú: 749851)
785091: Slavče,KU,Slavče [České Budějovice] (kód kú: 785091)
749915: Slavče u Trhových Svinů,KU,Slavče u Trhových Svinů [České Budějovice] (kód kú: 749915)
749931: Slavětice,KU,Slavětice [Třebíč] (kód kú: 749931)
787205: Slavětice u Všemyslic,KU,Slavětice u Všemyslic [České Budějovice] (kód kú: 787205)
750026: Slavětín nad Metují,KU,Slavětín nad Metují [Náchod] (kód kú: 750026)
749991: Slavětín nad Ohří,KU,Slavětín nad Ohří [Louny] (kód kú: 749991)
750018: Slavětín u Litovle,KU,Slavětín u Litovle [Olomouc] (kód kú: 750018)
749958: Slavětín u Načeradce,KU,Slavětín u Načeradce [Benešov] (kód kú: 749958)
717088: Slavětín u Oudoleně,KU,Slavětín u Oudoleně [Havlíčkův Brod] (kód kú: 717088)
738841: Slavětín u Radvanic,KU,Slavětín u Radvanic [Trutnov] (kód kú: 738841)
749974: Slavětín u Slavonic,KU,Slavětín u Slavonic [Jindřichův Hradec] (kód kú: 749974)
797693: Slavhostice,KU,Slavhostice [Jičín] (kód kú: 797693)
620157: Slaviboř,KU,Slaviboř [Jihlava] (kód kú: 620157)
750034: Slavice,KU,Slavice [Třebíč] (kód kú: 750034)
643131: Slavice u Horních Kozolup,KU,Slavice u Horních Kozolup [Tachov] (kód kú: 643131)
CZ0533501: Slavická obora,EVL,Slavická obora (sitecode: CZ0533501)
750042: Slavíč,KU,Slavíč [Přerov] (kód kú: 750042)
1096: PR Slavičí údolí,MZCHU,Slavičí údolí [PR] (kód ÚSOP: 1096)
CZ0723756: Slavičín - kostel,EVL,Slavičín - kostel (sitecode: CZ0723756)
CZ0723757: Slavičín - zámek,EVL,Slavičín - zámek (sitecode: CZ0723757)
750085: Slavičín,KU,Slavičín [Zlín] (kód kú: 750085)
750115: Slavičky,KU,Slavičky [Třebíč] (kód kú: 750115)
750166: Slavíkov u Chotěboře,KU,Slavíkov u Chotěboře [Havlíčkův Brod] (kód kú: 750166)
750182: Slavíkov u Náchoda,KU,Slavíkov u Náchoda [Náchod] (kód kú: 750182)
750204: Slavíkovice,KU,Slavíkovice [Klatovy] (kód kú: 750204)
750212: Slavíkovice u Jemnice,KU,Slavíkovice u Jemnice [Třebíč] (kód kú: 750212)
750298: Slavkov pod Hostýnem,KU,Slavkov pod Hostýnem [Kroměříž] (kód kú: 750298)
5752: PP Slavkov,MZCHU,Slavkov [PP] (kód ÚSOP: 5752)
CZ0213071: Slavkov,EVL,Slavkov (sitecode: CZ0213071)
750301: Slavkov u Brna,KU,Slavkov u Brna [Vyškov] (kód kú: 750301)
750247: Slavkov u Českého Krumlova,KU,Slavkov u Českého Krumlova [Český Krumlov] (kód kú: 750247)
750280: Slavkov u Opavy,KU,Slavkov u Opavy [Opava] (kód kú: 750280)
750271: Slavkov u Uherského Brodu,KU,Slavkov u Uherského Brodu [Uherské Hradiště] (kód kú: 750271)
750310: Slavkovice,KU,Slavkovice [Žďár nad Sázavou] (kód kú: 750310)
1548: PP Slavkovické louky,MZCHU,Slavkovické louky [PP] (kód ÚSOP: 1548)
397: PP Slavkovský chlumek,MZCHU,Slavkovský chlumek [PP] (kód ÚSOP: 397)
41: CHKO Slavkovský les,VZCHU,Slavkovský les [CHKO] (kód ÚSOP: 41)
CZ0623025: Slavkovský zámecký park a aleje,EVL,Slavkovský zámecký park a aleje (sitecode: CZ0623025)
750328: Slavníč,KU,Slavníč [Havlíčkův Brod] (kód kú: 750328)
753211: Slavňovice,KU,Slavňovice [Tábor] (kód kú: 753211)
759325: Slavný,KU,Slavný [Náchod] (kód kú: 759325)
750361: Slavonice,KU,Slavonice [Jindřichův Hradec] (kód kú: 750361)
CZ0313824: Slavonické rybníky,EVL,Slavonické rybníky (sitecode: CZ0313824)
750387: Slavonín,KU,Slavonín [Olomouc] (kód kú: 750387)
750409: Slavoňov,KU,Slavoňov [Náchod] (kód kú: 750409)
688886: Slavoňov u Lukavice,KU,Slavoňov u Lukavice [Šumperk] (kód kú: 688886)
750425: Slavošov u Zruče nad Sázavou,KU,Slavošov u Zruče nad Sázavou [Kutná Hora] (kód kú: 750425)
684571: Slavošov,KU,Slavošov [Ústí nad Labem] (kód kú: 684571)
607142: Slavošovice u Klatov,KU,Slavošovice u Klatov [Klatovy] (kód kú: 607142)
750441: Slavošovice u Lišova,KU,Slavošovice u Lišova [České Budějovice] (kód kú: 750441)
761800: Slemeno u Rychnova nad Kněžnou,KU,Slemeno u Rychnova nad Kněžnou [Rychnov nad Kněžnou] (kód kú: 761800)
750450: Slemeno v Podkrkonoší,KU,Slemeno v Podkrkonoší [Trutnov] (kód kú: 750450)
