val,type,col1
605352: Bečov,KU,Bečov [Chomutov] (kód kú: 605352)
601268: Bečov nad Teplou,KU,Bečov nad Teplou [Karlovy Vary] (kód kú: 601268)
601233: Bečov u Mostu,KU,Bečov u Mostu [Most] (kód kú: 601233)
CZ0410404: Bečovské lesní rybníky,EVL,Bečovské lesní rybníky (sitecode: CZ0410404)
CZ0714082: Bečva - Žebračka,EVL,Bečva - Žebračka (sitecode: CZ0714082)
601292: Bečváry,KU,Bečváry [Kolín] (kód kú: 601292)
601331: Bedihošť,KU,Bedihošť [Prostějov] (kód kú: 601331)
653110: Bedlno,KU,Bedlno [Rakovník] (kód kú: 653110)
601349: Bednárec,KU,Bednárec [Jindřichův Hradec] (kód kú: 601349)
601357: Bednáreček,KU,Bednáreček [Jindřichův Hradec] (kód kú: 601357)
601373: Bedřichov,KU,Bedřichov [Blansko] (kód kú: 601373)
644153: Bedřichov u Horní Stropnice,KU,Bedřichov u Horní Stropnice [České Budějovice] (kód kú: 644153)
601365: Bedřichov u Jablonce nad Nisou,KU,Bedřichov u Jablonce nad Nisou [Jablonec nad Nisou] (kód kú: 601365)
659878: Bedřichov u Jihlavy,KU,Bedřichov u Jihlavy [Jihlava] (kód kú: 659878)
713121: Bedřichov u Oskavy,KU,Bedřichov u Oskavy [Šumperk] (kód kú: 713121)
792934: Bedřichov u Zhořce,KU,Bedřichov u Zhořce [Pelhřimov] (kód kú: 792934)
762962: Bedřichov v Krkonoších,KU,Bedřichov v Krkonoších [Trutnov] (kód kú: 762962)
601381: Bedřichovice,KU,Bedřichovice [Brno-venkov] (kód kú: 601381)
649082: Bedřichovice u Hříškova,KU,Bedřichovice u Hříškova [Louny] (kód kú: 649082)
732: PR Bedřichovka,MZCHU,Bedřichovka [PR] (kód ÚSOP: 732)
712167: Bedřichovka,KU,Bedřichovka [Rychnov nad Kněžnou] (kód kú: 712167)
5865: PP Bedřichovský potok,MZCHU,Bedřichovský potok [PP] (kód ÚSOP: 5865)
CZ0313092: Bedřichovský potok,EVL,Bedřichovský potok (sitecode: CZ0313092)
602035: Bedřichův Světec,KU,Bedřichův Světec [Most] (kód kú: 602035)
633411: Běhánky,KU,Běhánky [Teplice] (kód kú: 633411)
601390: Běhařov,KU,Běhařov [Klatovy] (kód kú: 601390)
601420: Běhařovice,KU,Běhařovice [Znojmo] (kód kú: 601420)
1319: PP Bejkovna,MZCHU,Bejkovna [PP] (kód ÚSOP: 1319)
601594: Bělá,KU,Bělá [Chrudim] (kód kú: 601594)
601624: Bělá nad Radbuzou,KU,Bělá nad Radbuzou [Domažlice] (kód kú: 601624)
601683: Bělá nad Svitavou,KU,Bělá nad Svitavou [Svitavy] (kód kú: 601683)
5763: PP Bělá pod Bezdězem - zámek,MZCHU,Bělá pod Bezdězem - zámek [PP] (kód ÚSOP: 5763)
CZ0213600: Bělá pod Bezdězem - zámek,EVL,Bělá pod Bezdězem - zámek (sitecode: CZ0213600)
601705: Bělá pod Bezdězem,KU,Bělá pod Bezdězem [Mladá Boleslav] (kód kú: 601705)
625248: Bělá u Děčína,KU,Bělá u Děčína [Děčín] (kód kú: 625248)
601586: Bělá u Horní Cerekve,KU,Bělá u Horní Cerekve [Pelhřimov] (kód kú: 601586)
657999: Bělá u Jedlé,KU,Bělá u Jedlé [Havlíčkův Brod] (kód kú: 657999)
601799: Bělá u Jevíčka,KU,Bělá u Jevíčka [Svitavy] (kód kú: 601799)
682501: Bělá u Liberka,KU,Bělá u Liberka [Rychnov nad Kněžnou] (kód kú: 682501)
691097: Bělá u Malont,KU,Bělá u Malont [Český Krumlov] (kód kú: 691097)
601829: Bělá u Pecky,KU,Bělá u Pecky [Jičín] (kód kú: 601829)
601608: Bělá u Staré Paky,KU,Bělá u Staré Paky [Semily] (kód kú: 601608)
695572: Bělá u Turnova,KU,Bělá u Turnova [Semily] (kód kú: 695572)
601616: Bělá ve Slezsku,KU,Bělá ve Slezsku [Opava] (kód kú: 601616)
2411: PR Bělč,MZCHU,Bělč [PR] (kód ÚSOP: 2411)
601870: Bělčice,KU,Bělčice [Strakonice] (kód kú: 601870)
716278: Bělčice u Ostředka,KU,Bělčice u Ostředka [Benešov] (kód kú: 716278)
655074: Bělčovice,KU,Bělčovice [Jindřichův Hradec] (kód kú: 655074)
CZ0523824: Běleč - střelnice,EVL,Běleč - střelnice (sitecode: CZ0523824)
601888: Běleč,KU,Běleč [Kladno] (kód kú: 601888)
601934: Běleč nad Orlicí,KU,Běleč nad Orlicí [Hradec Králové] (kód kú: 601934)
685232: Běleč u Litně,KU,Běleč u Litně [Beroun] (kód kú: 685232)
601918: Běleč u Lomnice,KU,Běleč u Lomnice [Brno-venkov] (kód kú: 601918)
601896: Běleč u Mladé Vožice,KU,Běleč u Mladé Vožice [Tábor] (kód kú: 601896)
766836: Běleč u Těšovic,KU,Běleč u Těšovic [Prachatice] (kód kú: 766836)
601942: Bělečko,KU,Bělečko [Pardubice] (kód kú: 601942)
822: PP Bělečský písník,MZCHU,Bělečský písník [PP] (kód ÚSOP: 822)
715778: Běleň,KU,Běleň [Český Krumlov] (kód kú: 715778)
750468: Bělešovice,KU,Bělešovice [Pardubice] (kód kú: 750468)
5726: PP Belfrídský potok,MZCHU,Belfrídský potok [PP] (kód ÚSOP: 5726)
601951: Bělice,KU,Bělice [Benešov] (kód kú: 601951)
710881: Bělidla,KU,Bělidla [Olomouc] (kód kú: 710881)
601977: Bělkovice,KU,Bělkovice [Olomouc] (kód kú: 601977)
1987: PP Bělohradská bažantnice,MZCHU,Bělohradská bažantnice [PP] (kód ÚSOP: 1987)
746151: Bělokozly,KU,Bělokozly [Benešov] (kód kú: 746151)
601993: Běloky,KU,Běloky [Kladno] (kód kú: 601993)
602001: Bělotín,KU,Bělotín [Přerov] (kód kú: 602001)
602019: Bělov,KU,Bělov [Zlín] (kód kú: 602019)
701301: Běloves,KU,Běloves [Náchod] (kód kú: 701301)
602027: Bělušice,KU,Bělušice [Kolín] (kód kú: 602027)
602043: Bělušice u Mostu,KU,Bělušice u Mostu [Most] (kód kú: 602043)
689831: Bělý,KU,Bělý [Náchod] (kód kú: 689831)
2412: PR Bělyšov,MZCHU,Bělyšov [PR] (kód ÚSOP: 2412)
602060: Benátecká Vrutice,KU,Benátecká Vrutice [Nymburk] (kód kú: 602060)
602086: Benátky,KU,Benátky [Hradec Králové] (kód kú: 602086)
646300: Benátky u Houserovky,KU,Benátky u Houserovky [Pelhřimov] (kód kú: 646300)
602094: Benátky u Litomyšle,KU,Benátky u Litomyšle [Svitavy] (kód kú: 602094)
795615: Benátky u Ždírce nad Doubravou,KU,Benátky u Ždírce nad Doubravou [Havlíčkův Brod] (kód kú: 795615)
604976: Bendovo Záhoří,KU,Bendovo Záhoří [Tábor] (kód kú: 604976)
602132: Benecko,KU,Benecko [Semily] (kód kú: 602132)
602388: Benešov nad Černou,KU,Benešov nad Černou [Český Krumlov] (kód kú: 602388)
602451: Benešov nad Ploučnicí,KU,Benešov nad Ploučnicí [Děčín] (kód kú: 602451)
